Task: 2, Test Name: Correct Products Displayed When Filter Is Applied ?, Browser FireFox, Viewport 1200*700, Device Laptop, Status: True
Task: 2, Test Name: Correct Products Displayed When Filter Is Applied ?, Browser Edge, Viewport 1200*700, Device Laptop, Status: True
Task: 2, Test Name: Correct Products Displayed When Filter Is Applied ?, Browser Chrome, Viewport 768*700, Device Tablet, Status: True
Task: 2, Test Name: Correct Products Displayed When Filter Is Applied ?, Browser FireFox, Viewport 768*700, Device Tablet, Status: True
Task: 2, Test Name: Correct Products Displayed When Filter Is Applied ?, Browser Edge, Viewport 768*700, Device Tablet, Status: True
Task: 2, Test Name: Correct Products Displayed When Filter Is Applied ?, Browser Chrome, Viewport 500*700, Device Mobile, Status: True

Task: 3, Test Name: Navigation To Default Page, Browser Chrome, Viewport 1200*700, Device Laptop, Status: True
Task: 3, Test Name: Verify Image Is Displayed, Browser Chrome, Viewport 1200*700, Device Laptop, Status: True
Task: 3, Test Name: Is Product Rating Present ?, Browser Chrome, Viewport 1200*700, Device Laptop, Status: True
Task: 3, Test Name: Is Product Description Present ?, Browser Chrome, Viewport 1200*700, Device Laptop, Status: True
Task: 3, Test Name: Is Size Selection Dropdown Present ?, Browser Chrome, Viewport 1200*700, Device Laptop, Status: True
Task: 3, Test Name: Is Quantity Selection Dropdown Present ?, Browser Chrome, Viewport 1200*700, Device Laptop, Status: True
Task: 3, Test Name: Correct New Price Is Displayed, Browser Chrome, Viewport 1200*700, Device Laptop, Status: True
Task: 3, Test Name: Correct Old Price Is Displayed, Browser Chrome, Viewport 1200*700, Device Laptop, Status: True
Task: 3, Test Name: Correct Discount Is Displayed, Browser Chrome, Viewport 1200*700, Device Laptop, Status: True
Task: 3, Test Name: Is Add To Cart Button Present ?, Browser Chrome, Viewport 1200*700, Device Laptop, Status: True
Task: 3, Test Name: Navigation To Default Page, Browser Chrome, Viewport 768*700, Device Tablet, Status: True
Task: 3, Test Name: Verify Image Is Displayed, Browser Chrome, Viewport 768*700, Device Tablet, Status: True
Task: 3, Test Name: Is Product Rating Present ?, Browser Chrome, Viewport 768*700, Device Tablet, Status: True
Task: 3, Test Name: Is Product Description Present ?, Browser Chrome, Viewport 768*700, Device Tablet, Status: True
